{'template': 'phát {ten_phim}', 'intent': 'mo_phim'}
{'template': 'Phim {the_loai_phim} có nội dung hay đi', 'intent': 'tim_phim'}
{'template': 'Xem phim của {ten_dien_vien}', 'intent': 'mo_phim'}
{'template': 'Mở phim {ten_phim} ngay', 'intent': 'mo_phim'}
{'template': 'Tìm và mở phim {the_loai_phim} của {ten_dien_vien}', 'intent': 'mo_phim'}
{'template': 'Tôi muốn xem phim của {ten_dien_vien}', 'intent': 'mo_phim'}
{'template': 'Tìm phim {the_loai_phim} có {ten_dien_vien}', 'intent': 'tim_phim'}
{'template': 'Xem phim {ten_phim} ngay', 'intent': 'mo_phim'}
{'template': 'Có phim nào hot không?', 'intent': 'tim_phim'}
{'template': 'Cho xem bộ phim {ten_dien_vien} đóng vai chính', 'intent': 'mo_phim'}
{'template': 'Tôi cần tìm phim của {ten_dao_dien} thời gian gần đây', 'intent': 'tim_phim'}
{'template': 'Bộ phim {ten_dien_vien} ra mắt gần đây nhất', 'intent': 'tim_phim'}
{'template': 'Phim {the_loai_phim} có diễn viên {ten_dien_vien}', 'intent': 'tim_phim'}
{'template': 'Tìm bộ phim {ten_dien_vien} do {ten_dao_dien} làm chủ đạo', 'intent': 'tim_phim'}
{'template': 'Tôi muốn biết phim đang hot nhất hiện nay', 'intent': 'tim_phim'}
{'template': 'Cho tôi xem danh sách các phim mới ra mắt', 'intent': 'tim_phim'}
{'template': 'xem {ten_phim}', 'intent': 'mo_phim'}
{'template': 'Mở phim {ten_phim} cho tôi', 'intent': 'mo_phim'}
{'template': 'xem Tenet', 'intent': 'mo_phim'}
{'template': 'Inception', 'intent': 'mo_phim'}
{'template': 'phim kinh dị của Brad Pitt', 'intent': 'tim_phim'}
{'template': 'Tìm phim phù hợp với gia đình', 'intent': 'tim_phim'}
{'template': 'Tôi muốn xem phim hoạt hình', 'intent': 'tim_phim'}
{'template': 'bạn có phim nào giống như The Matrix không', 'intent': 'tim_phim'}
{'template': 'Chạy ngay Joker', 'intent': 'mo_phim'}
{'template': 'Tìm phim thuộc thể loại hài vào thời gian cuối tuần', 'intent': 'tim_phim'}
{'template': 'Bật phim Parasite', 'intent': 'mo_phim'}
{'template': 'Mở trực tiếp phim {ten_phim} lên', 'intent': 'mo_phim'}
{'template': 'Tìm phim {ten_phim} có nội dung gì', 'intent': 'tim_phim'}
{'template': '{ten_dien_vien} thủ vai chính trong phim nào?', 'intent': 'tim_phim'}
{'template': 'Tìm phim của {ten_dien_vien} có sự tham gia của {ten_dao_dien} vào thời điểm {thoi_gian}.', 'intent': 'tim_phim'}
{'template': 'Khi nào phát sóng phim {ten_phim}?', 'intent': 'tim_phim'}
{'template': 'Tìm kiếm ngay phim {ten_phim} trong danh sách.', 'intent': 'tim_phim'}
{'template': 'Xem {ten_phim} ngay.', 'intent': 'mo_phim'}
{'template': 'Phát sóng phim của {ten_dien_vien} vào lúc {thoi_gian}.', 'intent': 'mo_phim'}
{'template': 'Tìm phim do {ten_dien_vien} đóng và được đạo diễn bởi {ten_dao_dien}.', 'intent': 'tim_phim'}
{'template': 'Mở {ten_phim} cho tôi.', 'intent': 'mo_phim'}
{'template': 'Có phim nào mới không', 'intent': 'tim_phim'}
{'template': 'Tôi muốn xem phim {ten_dien_vien} đóng', 'intent': 'tim_phim'}
{'template': 'Tìm cho tôi phim {ten_phim}', 'intent': 'tim_phim'}
{'template': 'Tìm phim thuộc thể loại {the_loai_phim}', 'intent': 'tim_phim'}
{'template': 'Phim {ten_phim} của {ten_dao_dien}', 'intent': 'tim_phim'}
{'template': 'Phim nào đang chiếu', 'intent': 'tim_phim'}
{'template': 'Mở phim {ten_phim} lên', 'intent': 'mo_phim'}
{'template': 'Xem phim {ten_phim}', 'intent': 'mo_phim'}
{'template': 'Phim của {ten_dien_vien} vào thời gian {thoi_gian}', 'intent': 'tim_phim'}
{'template': 'Có bộ phim mới không?', 'intent': 'tim_phim'}
{'template': '{tim_phim} {ten_phim}', 'intent': 'tim_phim'}
