{'question': 'Chatbot của bạn có những tính năng gì đặc biệt?', 'intent': 'feature_inquiry'}
{'question': 'Chatbot này được tạo ra để làm gì?', 'intent': 'creation_reason'}
{'question': 'Nhiệm vụ chính của bạn là gì?', 'intent': 'purpose'}
{'question': 'Người nào đã tạo ra bạn?', 'intent': 'creation_reason'}
{'question': 'Bạn được phát triển bởi ai?', 'intent': 'creation_reason'}
{'question': 'Ai là cha đẻ của chatbot?', 'intent': 'creation_reason'}
{'question': 'Chatbot có khả năng tự nâng cao kỹ năng không?', 'intent': 'learning_capability'}
{'question': 'Làm thế nào chatbot có thể học từ người dùng?', 'intent': 'learning_capability'}
{'question': 'Tính năng nổi bật nào mà chatbot có?', 'intent': 'special_features'}
{'question': 'Các khả năng đặc sắc của chatbot là gì?', 'intent': 'special_features'}
{'question': 'Chatbot có những tính năng đặc biệt gì?', 'intent': 'special_features'}
{'question': 'Mục đích phát triển của chatbot là gì?', 'intent': 'development_purpose'}
{'question': 'Ai là người đã tạo ra bạn?', 'intent': 'creation_reason'}
{'question': 'Bạn là sản phẩm của đội nào?', 'intent': 'creation_reason'}
{'question': 'Tại sao chatbot này được phát triển?', 'intent': 'creation_reason'}
{'question': 'Chatbot có thể tự học không?', 'intent': 'learning_capability'}
{'question': 'Làm thế nào chatbot có thể cải thiện khả năng của mình?', 'intent': 'learning_capability'}
{'question': 'Chatbot này là cái gì?', 'intent': 'identity'}
{'question': 'Tính cách của bạn như thế nào?', 'intent': 'identity'}
{'question': 'Chatbot có những tính năng nổi bật nào?', 'intent': 'features'}
{'question': 'Có những khả năng đặc biệt nào mà chatbot có?', 'intent': 'features'}
{'question': 'Chatbot được thiết kế để làm gì?', 'intent': 'mission'}
{'question': 'Bạn đã được tạo ra với mục đích gì?', 'intent': 'creation_reason'}
{'question': 'Hệ thống chatbot của bạn được phát triển để làm gì?', 'intent': 'creation_reason'}
{'question': 'Tại sao lại có chatbot như bạn?', 'intent': 'creation_reason'}
{'question': 'Chatbot của bạn được thiết kế để đáp ứng nhu cầu gì?', 'intent': 'main_purpose'}
{'question': 'Mục tiêu chính của chatbot là gì?', 'intent': 'main_purpose'}
{'question': 'Bạn có những ứng dụng cụ thể nào?', 'intent': 'main_function'}
{'question': 'Chatbot có những khả năng gì đặc biệt?', 'intent': 'main_function'}
{'question': 'Tính năng nổi bật nào mà bạn mang lại cho người dùng?', 'intent': 'capabilities'}
{'question': 'Bạn có thể cung cấp những dịch vụ gì?', 'intent': 'capabilities'}
{'question': 'Có điều gì làm nổi bật chatbot của bạn so với các hệ thống khác?', 'intent': 'special_features'}
{'question': 'Sứ mệnh cụ thể của chatbot là gì?', 'intent': 'mission'}
{'question': 'Chatbot được thiết kế để đạt được mục tiêu gì?', 'intent': 'mission'}
{'question': 'Mục đích lớn nhất của hệ thống chatbot là gì?', 'intent': 'mission'}
{'question': 'Sứ mệnh của bạn là gì?', 'intent': 'mission'}
{'question': 'Ai là người phát triển chatbot của bạn?', 'intent': 'development_team'}
{'question': 'Bạn có những tính năng đặc biệt nào giúp tôi?', 'intent': 'special_features'}
{'question': 'Có thể bạn tự giới thiệu về bản thân không?', 'intent': 'creation_reason'}
{'question': 'Bạn được tạo ra để giải quyết vấn đề gì?', 'intent': 'creation_reason'}
{'question': 'Hệ thống chatbot này có những ứng dụng cụ thể nào?', 'intent': 'creation_reason'}
{'question': 'Chatbot này có những tính năng đặc sắc gì?', 'intent': 'special_features'}
{'question': 'Các khả năng nổi bật của chatbot là gì?', 'intent': 'special_features'}
{'question': 'Làm thế nào chatbot của bạn có thể hỗ trợ tôi?', 'intent': 'how_can_help'}
{'question': 'Chatbot có những tính năng đặc biệt nào giúp tôi?', 'intent': 'special_features'}
{'question': 'Ai đã tạo ra chatbot này?', 'intent': 'creation_reason'}
{'question': 'Mục tiêu của bạn là gì?', 'intent': 'mission'}
{'question': 'Bạn được tạo ra với lý do gì?', 'intent': 'creation_reason'}
{'question': 'Lý do bạn được phát triển là gì?', 'intent': 'creation_reason'}
{'question': 'Bạn được tạo ra để thực hiện công việc gì?', 'intent': 'main_function'}
{'question': 'Có những điểm nổi bật nào về tính năng của chatbot?', 'intent': 'special_features'}
{'question': 'Chatbot có tính cách như thế nào?', 'intent': 'personality'}
{'question': 'Chatbot được tạo ra bởi đội nào?', 'intent': 'creator'}
{'question': 'Có những nhiệm vụ cụ thể nào mà bạn thực hiện?', 'intent': 'main_function'}
{'question': 'Có những ứng dụng cụ thể nào của bạn?', 'intent': 'applications'}
{'question': 'Có những điều gì bạn có thể giúp tôi?', 'intent': 'capabilities'}
{'question': 'Chatbot của bạn có những điểm đặc sắc nào?', 'intent': 'feature_highlight'}
{'question': 'Ai là người đã tạo ra chatbot này?', 'intent': 'creator'}
{'question': 'Chatbot có khả năng tự học không?', 'intent': 'learning_ability'}
{'question': 'Chatbot của bạn được thiết kế để giải quyết những nhu cầu nào?', 'intent': 'purpose'}
{'question': 'Tính năng chính của chatbot là gì?', 'intent': 'primary_function'}
{'question': 'Chatbot có những đặc tính đặc biệt nào?', 'intent': 'special_features'}
{'question': 'Ai là người phát triển chatbot này?', 'intent': 'developer'}
{'question': 'Chatbot có những khả năng đặc sắc gì?', 'intent': 'capabilities'}
{'question': 'Người tạo ra bạn là ai?', 'intent': 'creation_reason'}
{'question': 'Bạn được tạo ra bởi ai?', 'intent': 'creation_reason'}
{'question': 'Có những công việc nào mà bạn có thể hỗ trợ?', 'intent': 'capabilities'}
{'question': 'Bạn có kỹ năng gì mà tôi có thể sử dụng?', 'intent': 'capabilities'}
{'question': 'Bạn được tạo ra để làm gì chính xác?', 'intent': 'main_function'}
{'question': 'Làm thế nào bạn có thể hỗ trợ tôi?', 'intent': 'assistance'}
{'question': 'Cách bạn có thể giúp đỡ tôi là gì?', 'intent': 'assistance'}
{'question': 'Có điều gì đặc biệt về tính năng của bạn?', 'intent': 'special_features'}
{'question': 'Dịch vụ nào mà bạn có thể cung cấp?', 'intent': 'services_offered'}
{'question': 'Các dịch vụ bạn có thể hỗ trợ là gì?', 'intent': 'services_offered'}
{'question': 'Các tính năng chính của bạn là gì?', 'intent': 'features_description'}
{'question': 'Miêu tả về những tính năng chính của bạn được không?', 'intent': 'features_description'}
{'question': 'Giới thiệu về bản thân của bạn đi', 'intent': 'self_introduction'}
{'question': 'Có thể bạn tự giới thiệu về mình được không?', 'intent': 'self_introduction'}
{'question': 'Người nào đã sáng tạo ra bạn?', 'intent': 'creation_reason'}
{'question': 'Chatbot có thể cải thiện khả năng của mình như thế nào?', 'intent': 'improvement_methods'}
{'question': 'Các tính năng nổi bật của hệ thống chatbot là gì?', 'intent': 'highlighted_features'}
{'question': 'Lý do bạn được tạo ra là gì?', 'intent': 'creation_reason'}
{'question': 'Chatbot này được phát triển với mục đích gì?', 'intent': 'creation_reason'}
{'question': 'Tại sao lại có sự xuất hiện của chatbot này?', 'intent': 'creation_reason'}
{'question': 'Mục đích chính của bạn là gì?', 'intent': 'creation_reason'}
{'question': 'Người nào đã tạo ra chatbot này?', 'intent': 'creator_info'}
{'question': 'Ai là người sáng tạo ra hệ thống chatbot này?', 'intent': 'creator_info'}
{'question': 'Chatbot này được phát triển bởi đội ngũ nào?', 'intent': 'creator_info'}
{'question': 'Có ai đứng sau việc phát triển chatbot không?', 'intent': 'creator_info'}
{'question': 'Chatbot này có những khả năng gì đặc sắc?', 'intent': 'capabilities'}
{'question': 'Chatbot có những kỹ năng đặc biệt nào?', 'intent': 'capabilities'}
{'question': 'Tính năng nổi bật của chatbot có gì đặc biệt?', 'intent': 'capabilities'}
{'question': 'Sứ mệnh chính của bạn là gì?', 'intent': 'mission'}
{'question': 'Chatbot có mục tiêu cụ thể nào không?', 'intent': 'mission'}
{'question': 'Nhiệm vụ của chatbot là gì?', 'intent': 'mission'}
{'question': 'Có mục tiêu nào mà chatbot đang hướng đến không?', 'intent': 'mission'}
{'question': 'Tôi có thể sử dụng những kỹ năng gì từ chatbot?', 'intent': 'usable_skills'}
{'question': 'Chatbot có những tính năng đặc biệt nào mà tôi có thể tận dụng?', 'intent': 'usable_skills'}
{'question': 'Cách tôi có thể tirjn dụng những kỹ năng của chatbot?', 'intent': 'usable_skills'}
{'question': 'Có ai đã tạo ra chatbot này không?', 'intent': 'creation_author'}
{'question': 'Mục tiêu của chatbot là gì?', 'intent': 'goal'}
{'question': 'Chatbot có thể tự động cập nhật thông tin không?', 'intent': 'automatic_updates'}
{'question': 'Làm thế nào để tận dụng các tính năng đặc biệt của chatbot?', 'intent': 'utilizing_special_features'}
{'question': 'Tôi nên biết gì về bạn?', 'intent': 'overview'}
{'question': 'Đội ngũ phát triển chatbot này là ai?', 'intent': 'development_team'}
{'question': 'Làm thế nào để cập nhật thông tin của chatbot?', 'intent': 'update_process'}
{'question': 'Chatbot được sử dụng trong những trường hợp nào?', 'intent': 'applications'}
{'question': 'Mục đích chính của chatbot là gì?', 'intent': 'mission'}
{'question': 'Sứ mệnh chính của chatbot là gì?', 'intent': 'mission'}
{'question': 'Mục đích của bạn là gì?', 'intent': 'purpose'}
{'question': 'Bạn được phát triển để làm những gì?', 'intent': 'development_purpose'}
{'question': 'Chatbot có thể hỗ trợ những công việc gì?', 'intent': 'supported_tasks'}
{'question': 'Chatbot có khả năng giúp đỡ tôi như thế nào?', 'intent': 'capabilities'}
{'question': 'Tính năng đặc biệt nào mà chatbot có?', 'intent': 'special_features'}
{'question': 'Bạn có sứ mệnh gì?', 'intent': 'mission'}
{'question': 'Chatbot có được phát triển với mục tiêu gì?', 'intent': 'creation_goal'}
{'question': 'Làm thế nào chatbot có thể giúp tôi?', 'intent': 'how_can_help'}
{'question': 'Chatbot có thể hỗ trợ tôi như thế nào?', 'intent': 'how_can_help'}
{'question': 'Có cách nào để tối ưu hóa khả năng của chatbot không?', 'intent': 'improvement_methods'}
{'question': 'Tại sao bạn được tạo ra?', 'intent': 'creation_reason'}
{'question': 'Được phát triển để làm gì?', 'intent': 'creation_reason'}
{'question': 'Lý do tạo ra bạn là gì?', 'intent': 'creation_reason'}
{'question': 'Chatbot này được phát triển để làm những việc gì?', 'intent': 'creation_reason'}
{'question': 'Chatbot này thuộc về đội nào?', 'intent': 'identity'}
{'question': 'Chatbot này được phát triển bởi ai?', 'intent': 'identity'}
{'question': 'Thông tin về người tạo ra bạn là gì?', 'intent': 'identity'}
{'question': 'Cách bạn có thể giúp đỡ tôi?', 'intent': 'capabilities'}
{'question': 'Tính năng của bạn là gì?', 'intent': 'capabilities'}
{'question': 'Bạn có thể làm những công việc gì?', 'intent': 'capabilities'}
{'question': 'Các khả năng của chatbot là như thế nào?', 'intent': 'capabilities'}
{'question': 'Chatbot có thể thực hiện nhiệm vụ gì?', 'intent': 'functionality'}
{'question': 'Chatbot này có ứng dụng trong lĩnh vực nào?', 'intent': 'functionality'}
{'question': 'Có điều gì đặc biệt ở chatbot của bạn?', 'intent': 'special_features'}
{'question': 'Chatbot này có những điểm độc đáo gì?', 'intent': 'special_features'}
{'question': 'Các tính năng đặc sắc của bạn là gì?', 'intent': 'special_features'}
{'question': 'Có những cá nhân hay tổ chức nào đứng sau việc phát triển bạn?', 'intent': 'creation_reason'}
{'question': 'Đội ngũ nào phát triển chatbot này?', 'intent': 'creation_reason'}
{'question': 'Chatbot này có tính năng gì đặc biệt?', 'intent': 'features'}
{'question': 'Tính năng nổi bật nào mà bạn có?', 'intent': 'features'}
{'question': 'Bạn được tạo ra để làm gì?', 'intent': 'creation_reason'}
{'question': 'Mục tiêu chính của bạn là gì?', 'intent': 'creation_reason'}
{'question': 'Lý do chatbot này được phát triển là gì?', 'intent': 'creation_reason'}
{'question': 'Người tạo ra bạn muốn đạt được điều gì khi phát triển chatbot?', 'intent': 'creation_reason'}
{'question': 'Chatbot này có thể tự học từ dữ liệu không?', 'intent': 'learning_ability'}
{'question': 'Có những tính năng đặc biệt nào mà bạn có?', 'intent': 'special_features'}
{'question': 'Tôi có thể sử dụng chatbot để thực hiện những nhiệm vụ nào?', 'intent': 'capabilities'}
{'question': 'Chatbot có thể giúp tôi trong những lĩnh vực nào?', 'intent': 'capabilities'}
{'question': 'Bạn có những tính năng nổi bật nào?', 'intent': 'feature_inquiry'}
{'question': 'Bạn có thể thực hiện những công việc gì?', 'intent': 'tasks_inquiry'}
{'question': 'Chatbot của bạn được tạo ra như thế nào?', 'intent': 'creation_reason'}
{'question': 'Chatbot có những khả năng gì?', 'intent': 'capabilities'}
{'question': 'Có những công việc nào mà chatbot của bạn có thể hỗ trợ?', 'intent': 'capabilities'}
{'question': 'Làm thế nào chatbot của bạn có thể giúp tôi?', 'intent': 'capabilities'}
{'question': 'Công dụng chính của chatbot là gì?', 'intent': 'main_purpose'}
{'question': 'Chatbot của bạn thực hiện những nhiệm vụ cụ thể nào?', 'intent': 'specific_tasks'}
{'question': 'Làm sao bạn được phát triển?', 'intent': 'creation_reason'}
{'question': 'Có thể bạn tự học được không?', 'intent': 'learning_capability'}
{'question': 'Tính năng học hỏi của bạn như thế nào?', 'intent': 'learning_capability'}
{'question': 'Bạn đặt ra mục tiêu gì?', 'intent': 'mission'}
{'question': 'Mục đích của chatbot là gì?', 'intent': 'purpose'}
{'question': 'Bạn được thiết kế để làm gì?', 'intent': 'purpose'}
{'question': 'Bạn làm việc với mục đích gì?', 'intent': 'creation_reason'}
{'question': 'Tôi muốn biết về quá trình phát triển của bạn làm thế nào?', 'intent': 'creation_reason'}
{'question': 'Có ai hoặc cái gì đã tạo ra chatbot này?', 'intent': 'creation_reason'}
{'question': 'Làm thế nào bạn đã được phát triển?', 'intent': 'creation_reason'}
{'question': 'Các điểm mạnh nổi bật của bạn là gì?', 'intent': 'features'}
{'question': 'Tôi muốn biết về các tính năng chính của chatbot?', 'intent': 'features'}
{'question': 'Chatbot này được thiết kế để làm những gì?', 'intent': 'mission'}
{'question': 'Cách sử dụng những tính năng đặc biệt của bạn như thế nào?', 'intent': 'utilizing_features'}
{'question': 'Tôi có thể tận dụng những tính năng nổi bật của chatbot như thế nào?', 'intent': 'utilizing_features'}
{'question': 'Lĩnh vực nào mà bạn có thể hỗ trợ?', 'intent': 'applications'}
{'question': 'Ứng dụng của chatbot này là gì?', 'intent': 'applications'}
{'question': 'Tôi có thể nhận được sự giúp đỡ như thế nào từ bạn?', 'intent': 'support'}
{'question': 'Tính năng nổi bật của bạn là gì?', 'intent': 'highlighted_features'}
{'question': 'Các tính năng được đánh giá cao của chatbot là gì?', 'intent': 'highlighted_features'}
{'question': 'Người phát triển của chatbot là ai?', 'intent': 'developer'}
{'question': 'Chatbot được phát triển để giải quyết vấn đề gì?', 'intent': 'problem_solving'}
{'question': 'Chatbot của bạn có thể làm được những công việc gì?', 'intent': 'capabilities'}
{'question': 'Tính cách của chatbot là như thế nào?', 'intent': 'personality_traits'}
{'question': 'Người nào đã phát triển chatbot này?', 'intent': 'creation_reason'}
{'question': 'Bạn đặt ra mục tiêu gì cho chatbot?', 'intent': 'purpose'}
{'question': 'Hệ thống chatbot có mục đích gì?', 'intent': 'purpose'}
{'question': 'Chatbot có khả năng nâng cao kỹ năng của mình như thế nào?', 'intent': 'improvement_method'}
{'question': 'Chatbot đặt ra mục tiêu gì cho bản thân?', 'intent': 'self_goals'}
{'question': 'Bạn được tạo ra để đáp ứng mục đích gì?', 'intent': 'creation_purpose'}
{'question': 'Người nào là người sáng tạo ra bạn?', 'intent': 'creation_reason'}
{'question': 'Chatbot của bạn có những tính năng nổi bật nào?', 'intent': 'features'}
{'question': 'Những nhiệm vụ cụ thể nào mà chatbot của bạn thực hiện được?', 'intent': 'capabilities'}
{'question': 'Làm thế nào chatbot của bạn được phát triển?', 'intent': 'creation_process'}
{'question': 'Chatbot của bạn được phát triển bởi ai?', 'intent': 'creation_process'}
{'question': 'Người tạo ra bạn muốn đạt được điều gì?', 'intent': 'creation_reason'}
{'question': 'Nguyên nhân tạo ra bạn là gì?', 'intent': 'creation_reason'}
{'question': 'Bạn được phát triển như thế nào?', 'intent': 'creation_reason'}
{'question': 'Lý do cho sự tồn tại của bạn là gì?', 'intent': 'creation_reason'}
{'question': 'Xin giới thiệu về bạn?', 'intent': 'self_introduction'}
{'question': 'Làm sao để sử dụng những tính năng đặc biệt của bạn?', 'intent': 'special_features_usage'}
{'question': 'Cách sử dụng các tính năng đặc biệt của chatbot?', 'intent': 'special_features_usage'}
{'question': 'Quá trình tạo ra chatbot này như thế nào?', 'intent': 'creation_process'}
{'question': 'Bạn được phát triển như thế nào để trở thành chatbot?', 'intent': 'creation_process'}
{'question': 'Có những tính năng nổi bật nào mà bạn có?', 'intent': 'special_features'}
{'question': 'Bạn có thể hỗ trợ trong những lĩnh vực nào?', 'intent': 'support_field'}
{'question': 'Chatbot của bạn có thể giúp đỡ trong các lĩnh vực nào?', 'intent': 'support_field'}
{'question': 'Người sáng lập chatbot là ai?', 'intent': 'creation_reason'}
{'question': 'Có khả năng nâng cao của bạn là gì?', 'intent': 'learning_capability'}
{'question': 'Những tính năng nổi bật của bạn là gì?', 'intent': 'features'}
{'question': 'Chatbot có những điểm mạnh nào?', 'intent': 'features'}
{'question': 'Chatbot có thể giúp đỡ trong những việc gì?', 'intent': 'capabilities'}
{'question': 'Tại sao bạn xây dựng chatbot này?', 'intent': 'creation_reason'}
{'question': 'Hệ thống của bạn hoạt động như thế nào?', 'intent': 'operation'}
{'question': 'Mục đích chính của việc phát triển chatbot là gì?', 'intent': 'creation_purpose'}
{'question': 'Trong lĩnh vực nào mà chatbot này có thể được sử dụng?', 'intent': 'application_field'}
{'question': 'Chatbot này được tạo ra bởi ai?', 'intent': 'creation_reason'}
{'question': 'Người phát triển chính của chatbot là ai?', 'intent': 'creation_reason'}
{'question': 'Chatbot có công dụng gì?', 'intent': 'purpose'}
{'question': 'Nhiệm vụ chính của bạn bao gồm những gì?', 'intent': 'capabilities'}
{'question': 'Chatbot có khả năng làm những việc gì?', 'intent': 'capabilities'}
{'question': 'Các kỹ năng bạn có là gì?', 'intent': 'capabilities'}
{'question': 'Có thể tự động học hỏi được không?', 'intent': 'capabilities'}
{'question': 'Bạn có thể tự cải thiện kỹ năng của mình không?', 'intent': 'capabilities'}
{'question': 'Nhiệm vụ chính của bạn là làm gì?', 'intent': 'mission'}
{'question': 'Tại sao chatbot được phát triển?', 'intent': 'creation_reason'}
{'question': 'Bạn có mục đích gì khi phát triển?', 'intent': 'creation_reason'}
{'question': 'Chatbot này được phát triển để làm gì?', 'intent': 'creation_reason'}
{'question': 'Chatbot đang làm gì?', 'intent': 'current_activity'}
{'question': 'Làm thế nào để sử dụng chatbot hiệu quả nhất?', 'intent': 'effective_usage'}
{'question': 'Lý do bạn phát triển chatbot này là gì?', 'intent': 'creation_reason'}
{'question': 'Mục đích chính của bạn khi phát triển chatbot là gì?', 'intent': 'creation_reason'}
{'question': 'Vì sao bạn quyết định phát triển chatbot?', 'intent': 'creation_reason'}
{'question': 'Chatbot được tạo ra để làm gì?', 'intent': 'creation_reason'}
{'question': 'Chatbot được phát triển để đáp ứng nhu cầu nào?', 'intent': 'creation_reason'}
{'question': 'Làm thế nào chatbot được phát triển?', 'intent': 'creation_process'}
{'question': 'Chatbot được tạo ra bằng cách nào?', 'intent': 'creation_process'}
{'question': 'Có bao lâu để phát triển chatbot này?', 'intent': 'creation_process'}
{'question': 'Chatbot có thể thực hiện những nhiệm vụ gì?', 'intent': 'capabilities'}
{'question': 'Chatbot có khả năng tự động cập nhật thông tin không?', 'intent': 'capabilities'}
{'question': 'Có những công việc cụ thể nào mà chatbot có thể thực hiện?', 'intent': 'capabilities'}
{'question': 'Chatbot có thể tương tác với người dùng như thế nào?', 'intent': 'capabilities'}
{'question': 'Chatbot của bạn có những công việc gì?', 'intent': 'capabilities'}
{'question': 'Làm thế nào bạn mô tả sứ mệnh của mình?', 'intent': 'creation_reason'}
{'question': 'Bạn được phát triển với mục đích gì?', 'intent': 'creation_reason'}
{'question': 'Phương pháp tạo ra bạn là gì?', 'intent': 'creation_process'}
{'question': 'Nguyên lý hoạt động của chatbot là gì?', 'intent': 'creation_process'}
{'question': 'Bạn được phát triển bằng công nghệ nào?', 'intent': 'creation_process'}
{'question': 'Quy trình phát triển của bạn như thế nào?', 'intent': 'creation_process'}
{'question': 'Có những phương pháp nào để nâng cao khả năng của bạn?', 'intent': 'improvement_capability'}
{'question': 'Cách mà bạn có thể phát triển theo thời gian là gì?', 'intent': 'improvement_capability'}
{'question': 'Làm thế nào tôi có thể giúp bạn cải thiện?', 'intent': 'improvement_capability'}
{'question': 'Nhiệm vụ cơ bản nhất của bạn là gì?', 'intent': 'main_task'}
{'question': 'Các chức năng cụ thể mà bạn có thể thực hiện là gì?', 'intent': 'main_task'}
{'question': 'Chatbot của bạn có những ứng dụng nào chính?', 'intent': 'creation_reason'}
{'question': 'Có những công việc gì mà chatbot của bạn có thể thực hiện?', 'intent': 'creation_reason'}
{'question': 'Lý do chính khiến bạn phát triển chatbot này là gì?', 'intent': 'creation_reason'}
{'question': 'Chatbot có khả năng tự động học hỏi được không?', 'intent': 'learning_capability'}
{'question': 'Làm thế nào chatbot của bạn học hỏi được từ người dùng?', 'intent': 'learning_capability'}
{'question': 'Ai là người sáng tạo ra chatbot này?', 'intent': 'creator'}
{'question': 'Chatbot của bạn được phát triển để làm những công việc gì cụ thể?', 'intent': 'creation_purpose'}
{'question': 'Chatbot này được tạo ra để giải quyết vấn đề gì?', 'intent': 'creation_purpose'}
{'question': 'Làm thế nào chatbot hỗ trợ người dùng?', 'intent': 'creation_purpose'}
{'question': 'Mục tiêu chính của việc phát triển chatbot là gì?', 'intent': 'creation_purpose'}
{'question': 'Chatbot này được tạo ra như thế nào?', 'intent': 'creation_process'}
{'question': 'Làm thế nào bạn có thể giúp đỡ tôi?', 'intent': 'assistance_capability'}
{'question': 'Có ai đứng sau việc phát triển bạn không?', 'intent': 'developers_info'}
{'question': 'Bạn được thiết kế để giải quyết vấn đề gì?', 'intent': 'creation_reason'}
{'question': 'Thuộc về đội nào?', 'intent': 'team_affiliation'}
{'question': 'Chatbot này là của đội nào?', 'intent': 'team_affiliation'}
{'question': 'Được phát triển để giải quyết vấn đề gì?', 'intent': 'problem_solving'}
{'question': 'Những tính năng nổi bật của chatbot là gì?', 'intent': 'features'}
{'question': 'Vì sao bạn phát triển chatbot này?', 'intent': 'creation_reason'}
{'question': 'Lý do bạn xây dựng chatbot là gì?', 'intent': 'creation_reason'}
{'question': 'Có những mục tiêu nào mà chatbot của bạn muốn đạt được?', 'intent': 'creation_reason'}
{'question': 'Chatbot của bạn có những điểm mạnh gì?', 'intent': 'features'}
{'question': 'Tính năng nổi bật nào mà chatbot mang lại?', 'intent': 'features'}
{'question': 'Những tính năng độc đáo nào mà chatbot có?', 'intent': 'features'}
{'question': 'Chatbot có những tính năng gì mà người dùng nên biết?', 'intent': 'features'}
{'question': 'Chatbot thực hiện được những công việc gì?', 'intent': 'features'}
{'question': 'Người dùng có thể mong đợi điều gì từ chatbot của bạn?', 'intent': 'features'}
{'question': 'Tính năng nổi bật mà chatbot mang lại cho người dùng là gì?', 'intent': 'features'}
{'question': 'Ai là người sáng tạo chatbot của bạn?', 'intent': 'creation_reason'}
{'question': 'Chatbot của bạn có những điểm mạnh nào?', 'intent': 'special_features'}
{'question': 'Mục tiêu mà chatbot đang hướng đến là gì?', 'intent': 'goal'}
{'question': 'Chatbot có mục tiêu cụ thể không?', 'intent': 'goal'}
{'question': 'Chatbot phát triển để đạt được những gì?', 'intent': 'goal'}
{'question': 'Chatbot có thể giúp đỡ trong những nhiệm vụ nào?', 'intent': 'services'}
{'question': 'Đội ngũ phát triển chatbot này gồm những người nào?', 'intent': 'creation_reason'}
{'question': 'Có những tính năng nào mà chatbot này cung cấp?', 'intent': 'features'}
{'question': 'Chatbot này có những khả năng gì?', 'intent': 'features'}
{'question': 'Người dùng nên biết về những điều gì khi sử dụng chatbot?', 'intent': 'features'}
{'question': 'Bạn có một sứ mệnh cụ thể là gì?', 'intent': 'mission'}
{'question': 'Hãy nói về mục đích tồn tại của bạn?', 'intent': 'creation_reason'}
